Company,Location,Contact,Phone,Email,Return Contact,Address 01,Address 02,City,State,Zip
Miboo,"Boston, MA",Morton McDirmid,405-631-8395,dtooting0@scribd.com,Morton McDirmid,7925 Cambridge Park,,Boston,MA,2124
Edgeblab,"Garden Grove, CA",Tulley Abram Glasscoo,909-942-3694,pwaggatt1@chron.com,Tulley Abram Glasscoo,45 Welch Junction,,Garden Grove,CA,92844
Mydeo,"Brooklyn, NY",Marja Gowers,404-253-9915,wdearnaly2@1688.com,Marja Gowers,519 Jackson Court,,Brooklyn,NY,11225
Ntags,"Indianapolis, IN",Annie Cawthorne,405-423-7571,cheberden3@youtu.be,Annie Cawthorne,91 Sundown Alley,,Indianapolis,IN,46266
Vinte,"Jacksonville, FL",Claudette Rosenfeld,601-220-8746,bbrenton4@ezinearticles.com,Claudette Rosenfeld,38788 Grover Street,#42425,Jacksonville,FL,32209
Voomm,"Denver, CO",Enrico Crombie,928-771-4801,iknowles5@jimdo.com,Enrico Crombie,0 Clove Street,,Denver,CO,80209
Plajo,"Charlotte, NC",Sheelah Vivie MacLese,505-411-4183,hwoollaston6@va.gov,Sheelah Vivie MacLese,659 Trailsway Circle,,Charlotte,NC,28230
Yotz,"Saint Petersburg, FL",Clare Ratt,405-707-5243,frawsthorne7@cbc.ca,Clare Ratt,8 Di Loreto Street,,Saint Petersburg,FL,33710
Gabcube,"Stockton, CA",Whittaker Jecock,304-636-9912,sdougharty8@amazonaws.com,Whittaker Jecock,2216 Dayton Junction,,Stockton,CA,95210
Kimia,"Van Nuys, CA",Irving Tedmund Zorro,901-674-5888,gmccaull9@apple.com,Irving Tedmund Zorro,8 Alpine Center,,Van Nuys,CA,91406
Zooxo,"Olympia, WA",Tulley Abram Glasscoo,704-703-6340,krodwella@amazon.co.jp,Tulley Abram Glasscoo,8 Northridge Street,Ste 241,Olympia,WA,98516
Flipbug,"Columbus, OH",Webb Willford,918-832-7213,kmanvellb@parallels.com,Webb Willford,0 Autumn Leaf Circle,,Columbus,OH,43231
Jayo,"Orlando, FL",Lilas Osgerby,719-519-8222,pvivianc@sogou.com,Lilas Osgerby,6 Scoville Court,,Orlando,FL,32808
Ainyx,"Bloomington, IN",Audi Beverlee de Pinna,310-894-3594,grissomd@harvard.edu,Audi Beverlee de Pinna,4353 Artisan Junction,,Bloomington,IN,47405
Topiclounge,"El Paso, TX",Sal Wadley,772-389-7830,wworvelle@paypal.com,Sal Wadley,71 Farmco Trail,Ste 669,El Paso,TX,79916
Yoveo,"Huntsville, AL",Addy Guthrie Heathfield,702-560-7345,cbagshawef@gmpg.org,Addy Guthrie Heathfield,95858 Dryden Way,,Huntsville,AL,35895
Meembee,"Lexington, KY",Sheelah Vivie MacLese,571-359-3626,bhanscomg@mozilla.org,Sheelah Vivie MacLese,9411 Loftsgordon Road,5447,Lexington,KY,40596
Buzzdog,"Pasadena, CA",Reynard Fearenside,562-114-0967,elimbrickh@bravesites.com,Reynard Fearenside,588 Dahle Way,22,Pasadena,CA,91103
Pixoboo,"Jackson, MS",Webb Willford,239-946-0310,eblaksleyi@state.tx.us,Webb Willford,5 Sauthoff Parkway,,Jackson,MS,39296
Brainlounge,"Vero Beach, FL",Margeaux Kirstin Andraud,775-277-6054,sbenoyj@squidoo.com,Margeaux Kirstin Andraud,97 Acker Circle,,Vero Beach,FL,32969
Wikizz,"Oklahoma City, OK",Barclay Cesya Edsall,480-943-9136,msenechaultk@vinaora.com,Barclay Cesya Edsall,399 Old Gate Plaza,,Oklahoma City,OK,73190
Zazio,"San Jose, CA",Burnaby Zackariah Parchment,208-399-4755,dpowlingl@foxnews.com,Burnaby Zackariah Parchment,2 Cherokee Parkway,,San Jose,CA,95123
Skippad,"Biloxi, MS",Barb Mala Crunkhorn,203-735-8640,rwaterstonem@fotki.com,Barb Mala Crunkhorn,00901 Ruskin Point,,Biloxi,MS,39534
Fivebridge,"Shawnee Mission, KS",Wilone Robinet Aries,315-618-2273,mmccowann@msn.com,Wilone Robinet Aries,5 4th Drive,,Shawnee Mission,KS,66220
Livetube,"Orange, CA",Anatollo Daft,813-150-9658,rgiacobazzio@tinyurl.com,Anatollo Daft,9 Bunting Circle,Bldg 6412,Orange,CA,92867
Kare,"Mountain View, CA",Annie Cawthorne,713-147-8325,egwillyamp@springer.com,Annie Cawthorne,45980 Spohn Center,,Mountain View,CA,94042
Yodel,"Oklahoma City, OK",Ragnar McIlharga,502-745-3995,jneashamq@bluehost.com,Ragnar McIlharga,43155 Kim Hill,,Oklahoma City,OK,73167
Twinder,"Tampa, FL",Martelle Lavigne,651-150-5077,yecobr@hugedomains.com,Martelle Lavigne,4 Manufacturers Road,,Tampa,FL,33633
Jaloo,"York, PA",Jared Matteoni,502-150-9861,ddunbobins@cnbc.com,Jared Matteoni,9416 Pepper Wood Avenue,,York,PA,17405
Realbridge,"New York City, NY",Lyle Furzer,808-846-5959,bwrothamt@nih.gov,Lyle Furzer,2320 Veith Way,#19,New York City,NY,10275
Linktype,"Levittown, PA",Sal Wadley,214-130-9827,hgoldisu@studiopress.com,Sal Wadley,2530 Paget Avenue,Ste53,Levittown,PA,19058
Zoombox,"Nashville, TN",Lidia Vogt,208-987-9861,criseamv@jugem.jp,Lidia Vogt,689 Corscot Hill,,Nashville,TN,37210
Babblestorm,"Berkeley, CA",Ralina Papes,651-823-2638,mmcquiltyw@netlog.com,Ralina Papes,51 Stuart Hill,,Berkeley,CA,94705
Mybuzz,"Bronx, NY",Maxie Vanni Codron,913-402-8703,fsnowdingx@cbc.ca,Maxie Vanni Codron,89 Armistice Hill,#8880,Bronx,NY,10469
Meetz,"Irvine, CA",Osbert Leodora Fairpo,615-131-9499,nbenyony@bbb.org,Osbert Leodora Fairpo,17040 Darwin Junction,,Irvine,CA,92710
Leenti,"Knoxville, TN",Willi Golagley,215-258-0849,brutherforthz@ebay.com,Willi Golagley,9 Lakewood Pass,,Knoxville,TN,37914
Zooxo,"Detroit, MI",Bud O'Crevan,650-425-2708,rnewband10@trellian.com,Bud O'Crevan,5 Welch Hill,,Detroit,MI,48232
Einti,"New Orleans, LA",Evelina Gallihawk,412-584-7181,ofancott11@free.fr,Evelina Gallihawk,060 Service Junction,,New Orleans,LA,70174
Skiptube,"Portland, OR",West Karlie Philippault,609-699-0790,dhorley12@google.fr,West Karlie Philippault,8 Burning Wood Park,,Portland,OR,97232
Eabox,"San Diego, CA",Tedra Kigelman,704-207-3078,gmccourtie13@redcross.org,Tedra Kigelman,2 South Pass,,San Diego,CA,92105
